Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost
1,88,6,10,2024-03-26,194379.14796406127,1075200.0
2,29,19,16,2024-07-09,97930.9933803618,1428000.0
10000,28,18,6,2024-04-13,126095.54777833456,940800.0
4,85,12,12,2023-09-06,84000.0,1008000.0
5,47,3,8,2021-07-06,99575.60963363378,705600.0
6,80,11,4,2021-07-12,160658.67535045007,627200.0
7,67,6,14,2023-11-01,133548.74970964075,1960000.0
8,21,20,7,2023-10-31,229217.9414680993,1792000.0
9,96,1,14,2024-02-25,144758.78325409137,2026622.965557279
10,3,20,6,2021-03-29,238293.8513034097,1120000.0
11,6,16,6,2024-01-12,98263.85040103912,532000.0
12,67,1,17,2022-05-04,135382.94960890236,2520000.0
13,67,12,15,2023-02-27,82352.48264946515,1260000.0
14,36,1,4,2023-03-22,141186.03640865185,560000.0
15,66,12,17,2023-03-22,79380.52059221058,1428000.0
16,43,7,1,2023-07-24,151200.0,302400.0
17,27,12,16,2022-09-27,85093.63619248601,1428000.0
10001,57,10,6,2022-07-10,89600.0,627200.0
19,76,3,19,2022-08-04,106544.97925907635,1814400.0
20,52,20,11,2022-06-19,222889.9229549203,3808000.0
21,88,13,10,2024-09-08,210759.80144895677,392000.0
10002,25,18,2,2021-03-21,123745.15804172322,247490.31608344644
23,46,17,12,2023-04-20,160605.71063159578,1176000.0
24,70,1,19,2021-05-03,145162.09735915158,2660000.0
25,79,19,3,2023-03-24,102391.22712875452,190400.0
10003,93,9,10,2021-09-21,112000.0,1792000.0
27,67,14,18,2023-03-01,124948.88111462102,2447200.0
28,3,19,10,2023-06-28,103377.92636864162,952000.0
29,24,11,5,2022-10-24,142284.83462551606,711424.1731275803
30,100,9,10,2023-04-20,107914.37933409296,1232000.0
31,16,16,20,2023-12-30,109347.01750389877,2021600.0
32,23,7,11,2022-10-10,158091.28746141505,151200.0
33,8,20,10,2021-10-01,241093.1443694232,2016000.0
34,92,8,11,2024-02-27,141578.710505847,1814400.0
